scraping_date,scraping_time,floorplan_name,bedroom,bathroom,squareFootage,rent_min,rent_max,move_in_month,move_in_day,move_in_year
2022/05/20,12,Davenport Classic II,2.0,2.0,1310.0,1855,1855,7,25,2022
2022/05/20,12,Davenport Deluxe,2.0,2.0,1310.0,2070,2070,7,25,2022
2022/05/20,12,Englewood Deluxe,2.0,2.0,1380.0,2270,2270,7,25,2022
2022/05/20,12,Davenport Classic II,2.0,2.0,1310.0,1855,1855,7,26,2022
2022/05/20,12,Davenport Deluxe,2.0,2.0,1310.0,2070,2070,7,26,2022
2022/05/20,12,Englewood Deluxe,2.0,2.0,1380.0,2270,2270,7,26,2022
2022/05/20,12,Davenport Classic II,2.0,2.0,1310.0,1855,1855,7,27,2022
2022/05/20,12,Davenport Deluxe,2.0,2.0,1310.0,2070,2070,7,27,2022
2022/05/20,12,Englewood Deluxe,2.0,2.0,1380.0,2270,2270,7,27,2022
2022/05/20,12,Davenport Classic II,2.0,2.0,1310.0,1855,1855,7,28,2022
2022/05/20,12,Davenport Deluxe,2.0,2.0,1310.0,2070,2070,7,28,2022
2022/05/20,12,Englewood Deluxe,2.0,2.0,1380.0,2270,2270,7,28,2022
2022/05/20,12,Davenport Classic II,2.0,2.0,1310.0,1855,1855,7,29,2022
2022/05/20,12,Davenport Deluxe,2.0,2.0,1310.0,2070,2070,7,29,2022
2022/05/20,12,Englewood Deluxe,2.0,2.0,1380.0,2270,2270,7,29,2022
2022/05/20,12,Davenport Classic II,2.0,2.0,1310.0,1855,1855,7,30,2022
2022/05/20,12,Englewood Deluxe,2.0,2.0,1380.0,2270,2270,7,30,2022
2022/05/20,12,Davenport Classic II,2.0,2.0,1310.0,1855,1855,7,31,2022
2022/05/20,12,Englewood Deluxe,2.0,2.0,1380.0,2270,2270,7,31,2022
2022/05/20,12,Davenport Classic II,2.0,2.0,1310.0,1855,1855,8,1,2022
2022/05/20,12,Englewood Deluxe,2.0,2.0,1380.0,2270,2270,8,1,2022
2022/05/20,12,Davenport Classic II,2.0,2.0,1310.0,1855,1855,8,2,2022
2022/05/20,12,Englewood Deluxe,2.0,2.0,1380.0,2270,2270,8,2,2022
2022/05/20,12,Davenport Classic II,2.0,2.0,1310.0,1855,1855,8,3,2022
2022/05/20,12,Englewood Deluxe,2.0,2.0,1380.0,2270,2270,8,3,2022
2022/05/20,12,Davenport Classic II,2.0,2.0,1310.0,1855,1855,8,4,2022
2022/05/20,12,Englewood Deluxe,2.0,2.0,1380.0,2270,2270,8,4,2022
2022/05/20,12,Davenport Classic II,2.0,2.0,1310.0,1855,1855,8,5,2022
2022/05/20,12,Englewood Deluxe,2.0,2.0,1380.0,2270,2270,8,5,2022
2022/05/20,12,Davenport Classic II,2.0,2.0,1310.0,1855,1855,8,6,2022
2022/05/20,12,Englewood Deluxe,2.0,2.0,1380.0,2270,2270,8,6,2022
2022/05/20,12,Davenport Classic II,2.0,2.0,1310.0,1855,1855,8,7,2022
2022/05/20,12,Englewood Deluxe,2.0,2.0,1380.0,2270,2270,8,7,2022
2022/05/20,12,Davenport Classic II,2.0,2.0,1310.0,1855,1855,8,8,2022
2022/05/20,12,Davenport Classic II,2.0,2.0,1310.0,1855,1855,8,9,2022
2022/05/20,12,Davenport Classic II,2.0,2.0,1310.0,1855,1855,8,10,2022
2022/05/22,10,Hampton Classic II,1.0,1.0,720.0,1510,1515,5,22,2022
2022/05/22,10,Hampton Deluxe,1.0,1.0,720.0,1630,1645,5,22,2022
2022/05/22,10,Fillmore Classic II,1.0,1.0,1040.0,1640,1680,5,22,2022
2022/05/22,10,Berkeley Deluxe,1.0,1.0,970.0,1790,1810,5,22,2022
2022/05/22,10,Fillmore Deluxe,1.0,1.0,1040.0,1815,1815,5,22,2022
2022/05/22,10,Davenport Renovated,2.0,2.0,1310.0,2055,2055,5,22,2022
2022/05/22,10,Davenport Deluxe,2.0,2.0,1310.0,2080,2080,5,22,2022
