scraping_date,scraping_time,floorplan_name,bedroom,bathroom,squareFootage,rent_min,rent_max,move_in_month,move_in_day,move_in_year
2022/05/20,10,a3_p,1,1,800,1327,1878,6,15,2022
2022/05/20,10,a3_e,1,1,800,1333,1855,6,15,2022
2022/05/20,10,b1dh,2,1,980,1335,1908,6,15,2022
2022/05/20,10,a3,1,1,800,1347,1856,6,15,2022
2022/05/20,10,bt_e,2,1100,1576,2140,6,15,2022
2022/05/20,10,b3,2,2,980,1747,2402,6,15,2022
2022/05/20,10,b5,2,2,980,1795,2416,6,15,2022
2022/05/20,10,b1dh,2,1,980,1335,1918,6,16,2022
2022/05/20,10,a3_p,1,1,800,1370,1703,6,16,2022
2022/05/20,10,a3,1,1,800,1376,1738,6,16,2022
2022/05/20,10,bt_e,2,1100,1675,2128,6,16,2022
2022/05/20,10,b1dh,2,1,980,1339,1927,6,17,2022
2022/05/20,10,a3_p,1,1,800,1370,1703,6,17,2022
2022/05/20,10,a3,1,1,800,1379,1753,6,17,2022
2022/05/20,10,bt_e,2,1100,1675,2128,6,17,2022
2022/05/20,10,b1dh,2,1,980,1342,1937,6,18,2022
2022/05/20,10,a3_p,1,1,800,1370,1703,6,18,2022
2022/05/20,10,a3,1,1,800,1382,1768,6,18,2022
2022/05/20,10,bt_e,2,1100,1680,2139,6,18,2022
2022/05/20,10,b1dh,2,1,980,1346,1946,6,19,2022
2022/05/20,10,a3_p,1,1,800,1370,1703,6,19,2022
2022/05/20,10,a3,1,1,800,1385,1783,6,19,2022
2022/05/20,10,bt_e,2,1100,1684,2150,6,19,2022
2022/05/20,10,b1dh,2,1,980,1349,1955,6,20,2022
2022/05/20,10,a3_p,1,1,800,1370,1703,6,20,2022
2022/05/20,10,a3,1,1,800,1388,1798,6,20,2022
2022/05/20,10,bt_e,2,1100,1688,2161,6,20,2022
2022/05/20,10,b1dh,2,1,980,1352,1766,6,21,2022
2022/05/20,10,a3_p,1,1,800,1370,1703,6,21,2022
2022/05/20,10,a3,1,1,800,1392,1813,6,21,2022
2022/05/20,10,bt_e,2,1100,1693,2173,6,21,2022
2022/05/20,10,b1dh,2,1,980,1356,1775,6,22,2022
2022/05/20,10,a3_p,1,1,800,1370,1712,6,22,2022
2022/05/20,10,a3,1,1,800,1395,1828,6,22,2022
2022/05/20,10,bt_e,2,1100,1697,2184,6,22,2022
2022/05/20,10,b1dh,2,1,980,1359,1783,6,23,2022
2022/05/20,10,a3_p,1,1,800,1370,1725,6,23,2022
2022/05/20,10,a3,1,1,800,1398,1843,6,23,2022
2022/05/20,10,bt_e,2,1100,1701,2195,6,23,2022
2022/05/20,10,b1dh,2,1,980,1362,1792,6,24,2022
2022/05/20,10,a3_p,1,1,800,1370,1740,6,24,2022
2022/05/20,10,bt_e,2,1100,1706,2206,6,24,2022
2022/05/20,10,b1dh,2,1,980,1366,1801,6,25,2022
2022/05/20,10,a3_p,1,1,800,1370,1756,6,25,2022
2022/05/20,10,bt_e,2,1100,1710,2217,6,25,2022
2022/05/20,10,b1dh,2,1,980,1369,1810,6,26,2022
2022/05/20,10,a3_p,1,1,800,1370,1771,6,26,2022
2022/05/20,10,bt_e,2,1100,1682,2290,6,26,2022
2022/05/20,10,a3_p,1,1,800,1370,1786,6,27,2022
2022/05/20,10,b1dh,2,1,980,1373,1819,6,27,2022
2022/05/20,10,bt_e,2,1100,1682,2290,6,27,2022
2022/05/20,10,a3_p,1,1,800,1373,1802,6,28,2022
2022/05/20,10,b1dh,2,1,980,1376,1827,6,28,2022
2022/05/20,10,bt_e,2,1100,1682,2290,6,28,2022
2022/05/20,10,a3_p,1,1,800,1377,1817,6,29,2022
2022/05/20,10,b1dh,2,1,980,1379,1836,6,29,2022
2022/05/20,10,bt_e,2,1100,1682,2290,6,29,2022
2022/05/20,10,a3_p,1,1,800,1380,1832,6,30,2022
2022/05/20,10,b1dh,2,1,980,1383,1851,6,30,2022
2022/05/20,10,bt_e,2,1100,1682,2290,6,30,2022
2022/05/20,10,a3_p,1,1,800,1383,1848,7,1,2022
2022/05/20,10,bt_e,2,1100,1682,2290,7,1,2022
2022/05/20,10,a3_p,1,1,800,1386,1863,7,2,2022
2022/05/20,10,bt_e,2,1100,1682,2290,7,2,2022
2022/05/20,10,a3_p,1,1,800,1396,1937,7,3,2022
2022/05/20,10,bt_e,2,1100,1682,2290,7,3,2022
2022/05/20,10,a3_p,1,1,800,1400,1948,7,4,2022
2022/05/20,10,bt_e,2,1100,1682,2290,7,4,2022
2022/05/20,10,a3_p,1,1,800,1403,1960,7,5,2022
2022/05/20,10,bt_e,2,1100,1682,2290,7,5,2022
2022/05/20,10,a3_p,1,1,800,1407,1882,7,6,2022
2022/05/20,10,bt_e,2,1100,1682,2290,7,6,2022
2022/05/20,10,a3_p,1,1,800,1410,1893,7,7,2022
2022/05/20,10,bt_e,2,1100,1682,2290,7,7,2022
2022/05/20,10,a3_p,1,1,800,1414,1904,7,8,2022
2022/05/20,10,bt_e,2,1100,1682,2290,7,8,2022
2022/05/20,10,a3_p,1,1,800,1417,1916,7,9,2022
2022/05/20,10,bt_e,2,1100,1682,2290,7,9,2022
2022/05/20,10,a3_p,1,1,800,1421,1927,7,10,2022
2022/05/20,10,bt_e,2,1100,1682,2290,7,10,2022
2022/05/20,10,a3_p,1,1,800,1424,1938,7,11,2022
2022/05/20,10,bt_e,2,1100,1687,2304,7,11,2022
2022/05/20,10,bt_e,2,1100,1691,2318,7,12,2022
2022/05/20,10,bt_e,2,1100,1696,2332,7,13,2022
2022/05/20,10,bt_e,2,1100,1701,2346,7,14,2022
2022/05/20,10,bt_e,2,1100,1705,2360,7,15,2022
2022/05/20,10,bt_e,2,1100,1710,2374,7,16,2022
2022/05/20,10,bt_e,2,1100,1715,2388,7,17,2022
2022/05/20,10,bt_e,2,1100,1719,2402,7,18,2022
2022/05/20,10,bt_e,2,1100,1724,2416,7,19,2022
2022/05/20,10,bt_e,2,1100,1729,2430,7,20,2022
2022/05/20,10,bt_e,2,1100,1733,2444,7,21,2022
2022/05/20,10,bt_e,2,1100,1738,2458,7,22,2022
2022/05/20,10,bt_e,2,1100,1742,2472,7,23,2022
2022/05/20,10,bt_e,2,1100,1746,2486,7,24,2022
2022/05/20,10,ct_e,3,1350,2150,2744,7,25,2022
2022/05/20,10,ct_e,3,1350,2150,2744,7,26,2022
2022/05/20,10,ct_e,3,1350,2150,2744,7,27,2022
2022/05/20,10,ct_e,3,1350,2150,2744,7,28,2022
2022/05/20,10,ct_e,3,1350,2150,2744,7,29,2022
2022/05/20,10,ct_e,3,1350,2150,2744,7,30,2022
2022/05/20,10,ct_e,3,1350,2150,2744,7,31,2022
2022/05/20,10,ct_e,3,1350,2150,2744,8,1,2022
2022/05/20,10,ct_e,3,1350,2150,2744,8,2,2022
2022/05/20,10,ct_e,3,1350,2150,2744,8,3,2022
2022/05/20,10,ct_e,3,1350,2150,2744,8,4,2022
2022/05/20,10,ct_e,3,1350,2150,2744,8,5,2022
2022/05/20,10,ct_e,3,1350,2150,2744,8,6,2022
2022/05/20,10,ct_e,3,1350,2150,2744,8,7,2022
2022/05/20,10,ct_e,3,1350,2150,2744,8,8,2022
2022/05/20,10,ct_e,3,1350,2156,2768,8,9,2022
2022/05/20,10,ct_e,3,1350,2162,2791,8,10,2022
2022/05/20,10,ct_e,3,1350,2168,2815,8,11,2022
2022/05/20,10,ct_e,3,1350,2174,2839,8,12,2022
2022/05/20,10,ct_e,3,1350,2180,2862,8,13,2022
2022/05/20,10,ct_e,3,1350,2186,2886,8,14,2022
2022/05/20,10,ct_e,3,1350,2191,2910,8,15,2022
2022/05/20,10,ct_e,3,1350,2197,2933,8,16,2022
2022/05/20,10,ct_e,3,1350,2203,2957,8,17,2022
2022/05/20,10,ct_e,3,1350,2209,2981,8,18,2022
2022/05/20,10,ct_e,3,1350,2215,3004,8,19,2022
2022/05/20,10,ct_e,3,1350,2221,3028,8,20,2022
2022/05/20,10,ct_e,3,1350,2227,3052,8,21,2022
2022/05/20,10,ct_e,3,1350,2233,3075,8,22,2022
